run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q01,RESP_GANA_Q01_20260912T142704Z,Q01,gana,2026-09-12T14:27:16.459105+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,3
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q02,RESP_GANA_Q02_20260912T142704Z,Q02,gana,2026-09-12T14:27:22.279339+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q03,RESP_GANA_Q03_20260912T142704Z,Q03,gana,2026-09-12T14:27:33.143360+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,3
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q04,RESP_GANA_Q04_20260912T142704Z,Q04,gana,2026-09-12T14:27:39.073796+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q05,RESP_GANA_Q05_20260912T142704Z,Q05,gana,2026-09-12T14:27:45.813104+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q06,RESP_GANA_Q06_20260912T142704Z,Q06,gana,2026-09-12T14:27:54.117421+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,3
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q07,RESP_GANA_Q07_20260912T142704Z,Q07,gana,2026-09-12T14:27:59.739866+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q08,RESP_GANA_Q08_20260912T142704Z,Q08,gana,2026-09-12T14:28:06.910354+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q09,RESP_GANA_Q09_20260912T142704Z,Q09,gana,2026-09-12T14:28:13.048199+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q10,RESP_GANA_Q10_20260912T142704Z,Q10,gana,2026-09-12T14:28:20.374253+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q11,RESP_GANA_Q11_20260912T142704Z,Q11,gana,2026-09-12T14:28:27.081537+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q12,RESP_GANA_Q12_20260912T142704Z,Q12,gana,2026-09-12T14:28:34.373284+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q13,RESP_GANA_Q13_20260912T142704Z,Q13,gana,2026-09-12T14:28:40.579018+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,2
