run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q01,RESP_RUANDA_Q01_20260912T144341Z,Q01,ruanda,2026-09-12T14:43:59.715199+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,3
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q02,RESP_RUANDA_Q02_20260912T144341Z,Q02,ruanda,2026-09-12T14:44:06.819328+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q03,RESP_RUANDA_Q03_20260912T144341Z,Q03,ruanda,2026-09-12T14:44:12.756966+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q04,RESP_RUANDA_Q04_20260912T144341Z,Q04,ruanda,2026-09-12T14:44:19.029220+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q05,RESP_RUANDA_Q05_20260912T144341Z,Q05,ruanda,2026-09-12T14:44:30.777784+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,3
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q06,RESP_RUANDA_Q06_20260912T144341Z,Q06,ruanda,2026-09-12T14:44:40.595467+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q07,RESP_RUANDA_Q07_20260912T144341Z,Q07,ruanda,2026-09-12T14:44:46.095070+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q08,RESP_RUANDA_Q08_20260912T144341Z,Q08,ruanda,2026-09-12T14:44:51.383563+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q09,RESP_RUANDA_Q09_20260912T144341Z,Q09,ruanda,2026-09-12T14:44:59.043872+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q10,RESP_RUANDA_Q10_20260912T144341Z,Q10,ruanda,2026-09-12T14:45:06.742476+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,3
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q11,RESP_RUANDA_Q11_20260912T144341Z,Q11,ruanda,2026-09-12T14:45:16.853800+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,1
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q12,RESP_RUANDA_Q12_20260912T144341Z,Q12,ruanda,2026-09-12T14:45:23.080373+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q13,RESP_RUANDA_Q13_20260912T144341Z,Q13,ruanda,2026-09-12T14:45:37.384268+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,3
