run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q01,RESP_SUICA_Q01_20260912T144840Z,Q01,suica,2026-09-12T14:48:53.496940+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,3
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q02,RESP_SUICA_Q02_20260912T144840Z,Q02,suica,2026-09-12T14:49:01.283091+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,2
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q03,RESP_SUICA_Q03_20260912T144840Z,Q03,suica,2026-09-12T14:49:12.986283+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,4
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q04,RESP_SUICA_Q04_20260912T144840Z,Q04,suica,2026-09-12T14:49:18.905687+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q05,RESP_SUICA_Q05_20260912T144840Z,Q05,suica,2026-09-12T14:49:25.676181+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,2
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q06,RESP_SUICA_Q06_20260912T144840Z,Q06,suica,2026-09-12T14:49:32.525675+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,2
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q07,RESP_SUICA_Q07_20260912T144840Z,Q07,suica,2026-09-12T14:49:38.570529+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,3
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q08,RESP_SUICA_Q08_20260912T144840Z,Q08,suica,2026-09-12T14:49:47.483931+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,0
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q09,RESP_SUICA_Q09_20260912T144840Z,Q09,suica,2026-09-12T14:49:54.322036+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,2
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q10,RESP_SUICA_Q10_20260912T144840Z,Q10,suica,2026-09-12T14:50:03.547086+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,3
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q11,RESP_SUICA_Q11_20260912T144840Z,Q11,suica,2026-09-12T14:50:09.635236+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,2
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q12,RESP_SUICA_Q12_20260912T144840Z,Q12,suica,2026-09-12T14:50:20.227255+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q13,RESP_SUICA_Q13_20260912T144840Z,Q13,suica,2026-09-12T14:50:26.033853+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,2
